biotype	n	sample
protein_coding	69	ERR696683_chr17
nonsense_mediated_decay	3	ERR696683_chr17
protein_coding_CDS_not_defined	3	ERR696683_chr17
retained_intron	3	ERR696683_chr17
protein_coding	131	ERR753368_chr17
retained_intron	10	ERR753368_chr17
nonsense_mediated_decay	7	ERR753368_chr17
protein_coding_CDS_not_defined	4	ERR753368_chr17
protein_coding	218	ERR753369_chr17
retained_intron	13	ERR753369_chr17
nonsense_mediated_decay	11	ERR753369_chr17
protein_coding_CDS_not_defined	7	ERR753369_chr17
protein_coding	115	ERR753370_chr17
nonsense_mediated_decay	5	ERR753370_chr17
protein_coding_CDS_not_defined	5	ERR753370_chr17
retained_intron	5	ERR753370_chr17
protein_coding	72	ERR753371_chr17
retained_intron	6	ERR753371_chr17
nonsense_mediated_decay	4	ERR753371_chr17
protein_coding_CDS_not_defined	2	ERR753371_chr17
protein_coding	131	ERR753372_chr17
retained_intron	10	ERR753372_chr17
nonsense_mediated_decay	7	ERR753372_chr17
protein_coding_CDS_not_defined	4	ERR753372_chr17
protein_coding	59	ERR753373_chr17
retained_intron	4	ERR753373_chr17
nonsense_mediated_decay	3	ERR753373_chr17
protein_coding_CDS_not_defined	2	ERR753373_chr17
protein_coding	105	ERR753375_chr17
retained_intron	6	ERR753375_chr17
nonsense_mediated_decay	5	ERR753375_chr17
protein_coding_CDS_not_defined	4	ERR753375_chr17
protein_coding	92	ERR753376_chr17
nonsense_mediated_decay	4	ERR753376_chr17
protein_coding_CDS_not_defined	4	ERR753376_chr17
retained_intron	4	ERR753376_chr17
protein_coding	69	ERR753377_chr17
nonsense_mediated_decay	3	ERR753377_chr17
protein_coding_CDS_not_defined	3	ERR753377_chr17
retained_intron	3	ERR753377_chr17
protein_coding	133	ERR753378_chr17
nonsense_mediated_decay	6	ERR753378_chr17
protein_coding_CDS_not_defined	5	ERR753378_chr17
retained_intron	5	ERR753378_chr17
