clin_sig	n	sample
benign	26	ERR696683_chr17
benign,pathogenic	26	ERR696683_chr17
benign	110	ERR753368_chr17
benign,likely_benign	16	ERR753368_chr17
benign	136	ERR753369_chr17
benign,pathogenic	26	ERR753369_chr17
benign,likely_benign	16	ERR753369_chr17
benign	78	ERR753370_chr17
benign,pathogenic	26	ERR753370_chr17
benign	42	ERR753371_chr17
benign,pathogenic	26	ERR753371_chr17
benign,likely_benign	16	ERR753371_chr17
benign	126	ERR753372_chr17
benign,pathogenic	26	ERR753372_chr17
benign	42	ERR753373_chr17
benign	68	ERR753375_chr17
benign,pathogenic	26	ERR753375_chr17
benign	52	ERR753376_chr17
benign,pathogenic	26	ERR753376_chr17
benign	52	ERR753377_chr17
benign,pathogenic	26	ERR753377_chr17
benign	78	ERR753378_chr17
benign,pathogenic	26	ERR753378_chr17
