consequence	n	sample
intron_variant	36	ERR696683_chr17
upstream_gene_variant	24	ERR696683_chr17
missense_variant	15	ERR696683_chr17
NMD_transcript_variant	3	ERR696683_chr17
non_coding_transcript_exon_variant	2	ERR696683_chr17
5_prime_UTR_variant	1	ERR696683_chr17
non_coding_transcript_variant	1	ERR696683_chr17
intron_variant	74	ERR753368_chr17
upstream_gene_variant	62	ERR753368_chr17
downstream_gene_variant	9	ERR753368_chr17
5_prime_UTR_variant	6	ERR753368_chr17
NMD_transcript_variant	4	ERR753368_chr17
non_coding_transcript_variant	3	ERR753368_chr17
non_coding_transcript_exon_variant	1	ERR753368_chr17
intron_variant	113	ERR753369_chr17
upstream_gene_variant	86	ERR753369_chr17
downstream_gene_variant	25	ERR753369_chr17
missense_variant	15	ERR753369_chr17
NMD_transcript_variant	8	ERR753369_chr17
5_prime_UTR_variant	7	ERR753369_chr17
non_coding_transcript_variant	4	ERR753369_chr17
non_coding_transcript_exon_variant	3	ERR753369_chr17
intron_variant	75	ERR753370_chr17
upstream_gene_variant	27	ERR753370_chr17
missense_variant	15	ERR753370_chr17
5_prime_UTR_variant	7	ERR753370_chr17
NMD_transcript_variant	5	ERR753370_chr17
downstream_gene_variant	3	ERR753370_chr17
non_coding_transcript_exon_variant	3	ERR753370_chr17
non_coding_transcript_variant	3	ERR753370_chr17
upstream_gene_variant	41	ERR753371_chr17
intron_variant	23	ERR753371_chr17
missense_variant	15	ERR753371_chr17
downstream_gene_variant	3	ERR753371_chr17
NMD_transcript_variant	2	ERR753371_chr17
non_coding_transcript_exon_variant	2	ERR753371_chr17
non_coding_transcript_variant	1	ERR753371_chr17
upstream_gene_variant	67	ERR753372_chr17
intron_variant	57	ERR753372_chr17
missense_variant	15	ERR753372_chr17
5_prime_UTR_variant	7	ERR753372_chr17
NMD_transcript_variant	4	ERR753372_chr17
downstream_gene_variant	3	ERR753372_chr17
non_coding_transcript_exon_variant	3	ERR753372_chr17
non_coding_transcript_variant	2	ERR753372_chr17
intron_variant	36	ERR753373_chr17
upstream_gene_variant	32	ERR753373_chr17
NMD_transcript_variant	2	ERR753373_chr17
non_coding_transcript_variant	2	ERR753373_chr17
intron_variant	59	ERR753375_chr17
upstream_gene_variant	41	ERR753375_chr17
missense_variant	15	ERR753375_chr17
NMD_transcript_variant	4	ERR753375_chr17
downstream_gene_variant	3	ERR753375_chr17
non_coding_transcript_variant	3	ERR753375_chr17
non_coding_transcript_exon_variant	2	ERR753375_chr17
intron_variant	57	ERR753376_chr17
upstream_gene_variant	25	ERR753376_chr17
missense_variant	15	ERR753376_chr17
NMD_transcript_variant	4	ERR753376_chr17
downstream_gene_variant	3	ERR753376_chr17
non_coding_transcript_exon_variant	3	ERR753376_chr17
non_coding_transcript_variant	2	ERR753376_chr17
5_prime_UTR_variant	1	ERR753376_chr17
intron_variant	39	ERR753377_chr17
upstream_gene_variant	17	ERR753377_chr17
missense_variant	15	ERR753377_chr17
NMD_transcript_variant	3	ERR753377_chr17
downstream_gene_variant	3	ERR753377_chr17
non_coding_transcript_exon_variant	3	ERR753377_chr17
5_prime_UTR_variant	1	ERR753377_chr17
non_coding_transcript_variant	1	ERR753377_chr17
intron_variant	78	ERR753378_chr17
upstream_gene_variant	27	ERR753378_chr17
downstream_gene_variant	19	ERR753378_chr17
missense_variant	15	ERR753378_chr17
5_prime_UTR_variant	7	ERR753378_chr17
NMD_transcript_variant	6	ERR753378_chr17
non_coding_transcript_exon_variant	3	ERR753378_chr17
non_coding_transcript_variant	3	ERR753378_chr17
