biotype	n	sample
protein_coding	45	ERR753368_chr5
nonsense_mediated_decay	17	ERR753368_chr5
retained_intron	2	ERR753368_chr5
protein_coding	49	ERR753369_chr5
nonsense_mediated_decay	18	ERR753369_chr5
retained_intron	2	ERR753369_chr5
protein_coding	61	ERR753370_chr5
nonsense_mediated_decay	22	ERR753370_chr5
retained_intron	3	ERR753370_chr5
protein_coding	45	ERR753372_chr5
nonsense_mediated_decay	17	ERR753372_chr5
retained_intron	2	ERR753372_chr5
protein_coding	69	ERR753373_chr5
nonsense_mediated_decay	24	ERR753373_chr5
retained_intron	3	ERR753373_chr5
protein_coding	43	ERR753374_chr5
nonsense_mediated_decay	16	ERR753374_chr5
retained_intron	2	ERR753374_chr5
protein_coding	48	ERR753375_chr5
nonsense_mediated_decay	18	ERR753375_chr5
retained_intron	3	ERR753375_chr5
protein_coding	61	ERR753376_chr5
nonsense_mediated_decay	22	ERR753376_chr5
retained_intron	2	ERR753376_chr5
protein_coding	61	ERR753377_chr5
nonsense_mediated_decay	22	ERR753377_chr5
retained_intron	2	ERR753377_chr5
protein_coding	52	ERR753378_chr5
nonsense_mediated_decay	19	ERR753378_chr5
retained_intron	2	ERR753378_chr5
