consequence	n	sample
downstream_gene_variant	20	ERR753368_chr5
synonymous_variant	18	ERR753368_chr5
intron_variant	13	ERR753368_chr5
NMD_transcript_variant	12	ERR753368_chr5
3_prime_UTR_variant	7	ERR753368_chr5
missense_variant	4	ERR753368_chr5
non_coding_transcript_exon_variant	1	ERR753368_chr5
upstream_gene_variant	1	ERR753368_chr5
downstream_gene_variant	20	ERR753369_chr5
intron_variant	20	ERR753369_chr5
synonymous_variant	18	ERR753369_chr5
NMD_transcript_variant	13	ERR753369_chr5
3_prime_UTR_variant	7	ERR753369_chr5
missense_variant	2	ERR753369_chr5
non_coding_transcript_exon_variant	1	ERR753369_chr5
upstream_gene_variant	1	ERR753369_chr5
intron_variant	36	ERR753370_chr5
downstream_gene_variant	20	ERR753370_chr5
synonymous_variant	18	ERR753370_chr5
NMD_transcript_variant	17	ERR753370_chr5
3_prime_UTR_variant	7	ERR753370_chr5
missense_variant	2	ERR753370_chr5
non_coding_transcript_exon_variant	2	ERR753370_chr5
upstream_gene_variant	1	ERR753370_chr5
downstream_gene_variant	20	ERR753372_chr5
synonymous_variant	18	ERR753372_chr5
intron_variant	13	ERR753372_chr5
NMD_transcript_variant	12	ERR753372_chr5
3_prime_UTR_variant	7	ERR753372_chr5
missense_variant	4	ERR753372_chr5
non_coding_transcript_exon_variant	1	ERR753372_chr5
upstream_gene_variant	1	ERR753372_chr5
intron_variant	44	ERR753373_chr5
downstream_gene_variant	21	ERR753373_chr5
NMD_transcript_variant	18	ERR753373_chr5
synonymous_variant	18	ERR753373_chr5
3_prime_UTR_variant	7	ERR753373_chr5
upstream_gene_variant	3	ERR753373_chr5
missense_variant	2	ERR753373_chr5
non_coding_transcript_exon_variant	1	ERR753373_chr5
downstream_gene_variant	20	ERR753374_chr5
synonymous_variant	18	ERR753374_chr5
intron_variant	12	ERR753374_chr5
NMD_transcript_variant	11	ERR753374_chr5
3_prime_UTR_variant	7	ERR753374_chr5
missense_variant	2	ERR753374_chr5
non_coding_transcript_exon_variant	1	ERR753374_chr5
upstream_gene_variant	1	ERR753374_chr5
downstream_gene_variant	20	ERR753375_chr5
intron_variant	19	ERR753375_chr5
synonymous_variant	18	ERR753375_chr5
NMD_transcript_variant	13	ERR753375_chr5
3_prime_UTR_variant	7	ERR753375_chr5
missense_variant	2	ERR753375_chr5
non_coding_transcript_exon_variant	2	ERR753375_chr5
upstream_gene_variant	1	ERR753375_chr5
intron_variant	32	ERR753376_chr5
downstream_gene_variant	20	ERR753376_chr5
synonymous_variant	18	ERR753376_chr5
NMD_transcript_variant	15	ERR753376_chr5
3_prime_UTR_variant	7	ERR753376_chr5
upstream_gene_variant	5	ERR753376_chr5
missense_variant	2	ERR753376_chr5
non_coding_transcript_exon_variant	1	ERR753376_chr5
intron_variant	32	ERR753377_chr5
downstream_gene_variant	20	ERR753377_chr5
synonymous_variant	18	ERR753377_chr5
NMD_transcript_variant	15	ERR753377_chr5
3_prime_UTR_variant	7	ERR753377_chr5
upstream_gene_variant	5	ERR753377_chr5
missense_variant	2	ERR753377_chr5
non_coding_transcript_exon_variant	1	ERR753377_chr5
intron_variant	24	ERR753378_chr5
downstream_gene_variant	20	ERR753378_chr5
synonymous_variant	18	ERR753378_chr5
NMD_transcript_variant	14	ERR753378_chr5
3_prime_UTR_variant	7	ERR753378_chr5
missense_variant	2	ERR753378_chr5
non_coding_transcript_exon_variant	1	ERR753378_chr5
upstream_gene_variant	1	ERR753378_chr5
