biotype	n	sample
nonsense_mediated_decay	20	ERR696683_chr7
protein_coding	20	ERR696683_chr7
retained_intron	11	ERR696683_chr7
protein_coding_CDS_not_defined	6	ERR696683_chr7
nonsense_mediated_decay	20	ERR753368_chr7
protein_coding	17	ERR753368_chr7
retained_intron	10	ERR753368_chr7
protein_coding_CDS_not_defined	5	ERR753368_chr7
protein_coding	3	ERR753369_chr7
protein_coding_CDS_not_defined	1	ERR753369_chr7
retained_intron	1	ERR753369_chr7
protein_coding	3	ERR753370_chr7
protein_coding_CDS_not_defined	1	ERR753370_chr7
retained_intron	1	ERR753370_chr7
nonsense_mediated_decay	12	ERR753371_chr7
protein_coding	11	ERR753371_chr7
retained_intron	5	ERR753371_chr7
protein_coding_CDS_not_defined	3	ERR753371_chr7
nonsense_mediated_decay	11	ERR753372_chr7
protein_coding	11	ERR753372_chr7
retained_intron	6	ERR753372_chr7
protein_coding_CDS_not_defined	3	ERR753372_chr7
nonsense_mediated_decay	20	ERR753373_chr7
protein_coding	17	ERR753373_chr7
retained_intron	10	ERR753373_chr7
protein_coding_CDS_not_defined	5	ERR753373_chr7
nonsense_mediated_decay	17	ERR753374_chr7
protein_coding	12	ERR753374_chr7
retained_intron	7	ERR753374_chr7
protein_coding_CDS_not_defined	3	ERR753374_chr7
nonsense_mediated_decay	17	ERR753375_chr7
protein_coding	15	ERR753375_chr7
retained_intron	8	ERR753375_chr7
protein_coding_CDS_not_defined	4	ERR753375_chr7
protein_coding	3	ERR753376_chr7
protein_coding_CDS_not_defined	1	ERR753376_chr7
retained_intron	1	ERR753376_chr7
nonsense_mediated_decay	11	ERR753378_chr7
protein_coding	8	ERR753378_chr7
retained_intron	5	ERR753378_chr7
protein_coding_CDS_not_defined	2	ERR753378_chr7
