consequence	n	sample
intron_variant	36	ERR696683_chr7
NMD_transcript_variant	20	ERR696683_chr7
non_coding_transcript_variant	10	ERR696683_chr7
3_prime_UTR_variant	6	ERR696683_chr7
non_coding_transcript_exon_variant	6	ERR696683_chr7
synonymous_variant	6	ERR696683_chr7
downstream_gene_variant	1	ERR696683_chr7
missense_variant	1	ERR696683_chr7
upstream_gene_variant	1	ERR696683_chr7
intron_variant	36	ERR753368_chr7
NMD_transcript_variant	20	ERR753368_chr7
non_coding_transcript_variant	10	ERR753368_chr7
synonymous_variant	6	ERR753368_chr7
3_prime_UTR_variant	4	ERR753368_chr7
non_coding_transcript_exon_variant	4	ERR753368_chr7
missense_variant	1	ERR753368_chr7
upstream_gene_variant	1	ERR753368_chr7
3_prime_UTR_variant	2	ERR753369_chr7
non_coding_transcript_exon_variant	2	ERR753369_chr7
downstream_gene_variant	1	ERR753369_chr7
3_prime_UTR_variant	2	ERR753370_chr7
non_coding_transcript_exon_variant	2	ERR753370_chr7
downstream_gene_variant	1	ERR753370_chr7
intron_variant	13	ERR753371_chr7
NMD_transcript_variant	12	ERR753371_chr7
synonymous_variant	6	ERR753371_chr7
3_prime_UTR_variant	5	ERR753371_chr7
non_coding_transcript_exon_variant	5	ERR753371_chr7
non_coding_transcript_variant	3	ERR753371_chr7
downstream_gene_variant	1	ERR753371_chr7
missense_variant	1	ERR753371_chr7
intron_variant	12	ERR753372_chr7
NMD_transcript_variant	11	ERR753372_chr7
synonymous_variant	6	ERR753372_chr7
3_prime_UTR_variant	5	ERR753372_chr7
non_coding_transcript_exon_variant	5	ERR753372_chr7
non_coding_transcript_variant	3	ERR753372_chr7
downstream_gene_variant	1	ERR753372_chr7
missense_variant	1	ERR753372_chr7
upstream_gene_variant	1	ERR753372_chr7
intron_variant	36	ERR753373_chr7
NMD_transcript_variant	20	ERR753373_chr7
non_coding_transcript_variant	10	ERR753373_chr7
synonymous_variant	6	ERR753373_chr7
3_prime_UTR_variant	4	ERR753373_chr7
non_coding_transcript_exon_variant	4	ERR753373_chr7
missense_variant	1	ERR753373_chr7
upstream_gene_variant	1	ERR753373_chr7
intron_variant	25	ERR753374_chr7
NMD_transcript_variant	17	ERR753374_chr7
non_coding_transcript_variant	6	ERR753374_chr7
synonymous_variant	6	ERR753374_chr7
3_prime_UTR_variant	3	ERR753374_chr7
non_coding_transcript_exon_variant	3	ERR753374_chr7
missense_variant	1	ERR753374_chr7
upstream_gene_variant	1	ERR753374_chr7
intron_variant	25	ERR753375_chr7
NMD_transcript_variant	17	ERR753375_chr7
non_coding_transcript_variant	6	ERR753375_chr7
synonymous_variant	6	ERR753375_chr7
3_prime_UTR_variant	5	ERR753375_chr7
non_coding_transcript_exon_variant	5	ERR753375_chr7
downstream_gene_variant	1	ERR753375_chr7
missense_variant	1	ERR753375_chr7
upstream_gene_variant	1	ERR753375_chr7
3_prime_UTR_variant	2	ERR753376_chr7
non_coding_transcript_exon_variant	2	ERR753376_chr7
downstream_gene_variant	1	ERR753376_chr7
intron_variant	12	ERR753378_chr7
NMD_transcript_variant	11	ERR753378_chr7
synonymous_variant	6	ERR753378_chr7
3_prime_UTR_variant	3	ERR753378_chr7
non_coding_transcript_exon_variant	3	ERR753378_chr7
non_coding_transcript_variant	3	ERR753378_chr7
missense_variant	1	ERR753378_chr7
upstream_gene_variant	1	ERR753378_chr7
