biotype	n	sample
retained_intron	18	ERR696683_chr3
protein_coding	14	ERR696683_chr3
nonsense_mediated_decay	9	ERR696683_chr3
retained_intron	12	ERR753368_chr3
protein_coding	8	ERR753368_chr3
nonsense_mediated_decay	6	ERR753368_chr3
retained_intron	4	ERR753369_chr3
nonsense_mediated_decay	2	ERR753369_chr3
protein_coding	2	ERR753369_chr3
retained_intron	14	ERR753370_chr3
protein_coding	12	ERR753370_chr3
nonsense_mediated_decay	7	ERR753370_chr3
retained_intron	12	ERR753372_chr3
protein_coding	8	ERR753372_chr3
nonsense_mediated_decay	6	ERR753372_chr3
protein_coding	8	ERR753373_chr3
nonsense_mediated_decay	2	ERR753373_chr3
retained_intron	2	ERR753373_chr3
protein_coding	4	ERR753374_chr3
nonsense_mediated_decay	1	ERR753374_chr3
protein_coding	12	ERR753375_chr3
retained_intron	12	ERR753375_chr3
nonsense_mediated_decay	7	ERR753375_chr3
retained_intron	4	ERR753376_chr3
nonsense_mediated_decay	2	ERR753376_chr3
protein_coding	2	ERR753376_chr3
protein_coding	10	ERR753377_chr3
retained_intron	10	ERR753377_chr3
nonsense_mediated_decay	5	ERR753377_chr3
retained_intron	39	ERR753378_chr3
protein_coding	34	ERR753378_chr3
nonsense_mediated_decay	21	ERR753378_chr3
