consequence	n	sample
intron_variant	36	ERR696683_chr3
non_coding_transcript_variant	15	ERR696683_chr3
NMD_transcript_variant	9	ERR696683_chr3
splice_polypyrimidine_tract_variant	5	ERR696683_chr3
upstream_gene_variant	3	ERR696683_chr3
downstream_gene_variant	2	ERR696683_chr3
intron_variant	24	ERR753368_chr3
non_coding_transcript_variant	10	ERR753368_chr3
NMD_transcript_variant	6	ERR753368_chr3
splice_polypyrimidine_tract_variant	5	ERR753368_chr3
upstream_gene_variant	2	ERR753368_chr3
intron_variant	7	ERR753369_chr3
non_coding_transcript_variant	3	ERR753369_chr3
NMD_transcript_variant	2	ERR753369_chr3
upstream_gene_variant	1	ERR753369_chr3
intron_variant	29	ERR753370_chr3
non_coding_transcript_variant	12	ERR753370_chr3
NMD_transcript_variant	7	ERR753370_chr3
splice_polypyrimidine_tract_variant	5	ERR753370_chr3
downstream_gene_variant	2	ERR753370_chr3
upstream_gene_variant	2	ERR753370_chr3
intron_variant	24	ERR753372_chr3
non_coding_transcript_variant	10	ERR753372_chr3
NMD_transcript_variant	6	ERR753372_chr3
splice_polypyrimidine_tract_variant	5	ERR753372_chr3
upstream_gene_variant	2	ERR753372_chr3
intron_variant	10	ERR753373_chr3
NMD_transcript_variant	2	ERR753373_chr3
non_coding_transcript_exon_variant	1	ERR753373_chr3
upstream_gene_variant	1	ERR753373_chr3
intron_variant	5	ERR753374_chr3
NMD_transcript_variant	1	ERR753374_chr3
intron_variant	28	ERR753375_chr3
non_coding_transcript_variant	11	ERR753375_chr3
NMD_transcript_variant	7	ERR753375_chr3
splice_polypyrimidine_tract_variant	5	ERR753375_chr3
downstream_gene_variant	2	ERR753375_chr3
upstream_gene_variant	1	ERR753375_chr3
intron_variant	7	ERR753376_chr3
non_coding_transcript_variant	3	ERR753376_chr3
NMD_transcript_variant	2	ERR753376_chr3
upstream_gene_variant	1	ERR753376_chr3
intron_variant	22	ERR753377_chr3
non_coding_transcript_variant	9	ERR753377_chr3
NMD_transcript_variant	5	ERR753377_chr3
splice_polypyrimidine_tract_variant	5	ERR753377_chr3
downstream_gene_variant	2	ERR753377_chr3
upstream_gene_variant	1	ERR753377_chr3
intron_variant	70	ERR753378_chr3
non_coding_transcript_variant	27	ERR753378_chr3
NMD_transcript_variant	19	ERR753378_chr3
downstream_gene_variant	16	ERR753378_chr3
splice_polypyrimidine_tract_variant	11	ERR753378_chr3
non_coding_transcript_exon_variant	4	ERR753378_chr3
upstream_gene_variant	3	ERR753378_chr3
3_prime_UTR_variant	1	ERR753378_chr3
